name;title;company;email;linkedin_url;source;score;google_reviews_count;city;trade;personalization_line_1;personalization_line_2;personalization_line_3;outreach_channel;priority
GOBERT;Gérant;GOBERT ELECTRICITE GENERALE;;https://www.linkedin.com/search/results/people/?keywords=GOBERT+ELECTRICITE+GENERALE+Charpont;obat.fr/electricien;95;0;Charpont (28500);Électricien;Votre fiche Google à Charpont n'affiche aucun avis : en 2026, 83% des particuliers choisissent leur électricien sur Maps avant même d'appeler.;Un électricien certifié comme vous mérite d'être visible — sans avis, vous perdez des chantiers au profit de concurrents moins qualifiés de Chartres.;Notre méthode psychologique (87% de réussite) permet d'obtenir 10 avis authentiques en 10 jours, sans QR code ni relance manuelle.;cold_email+linkedin;URGENT
LMS ELECTRICITE;Gérant;LMS ELECTRICITE;;https://www.linkedin.com/search/results/people/?keywords=LMS+ELECTRICITE+Chartres;obat.fr/electricien;93;0;Chartres (28000);Électricien;LMS Électricité est à Chartres, le marché le plus concurrentiel du 28 : avec 0 avis Google, votre fiche disparaît derrière ceux qui en ont 20+.;Les recherches "électricien Chartres" génèrent des centaines de clics par mois — sans avis récents, l'algorithme vous relègue hors du Pack Local.;Je propose un diagnostic gratuit de 60 secondes pour mesurer exactement ce que vous perdez chaque semaine en visibilité.;cold_email+linkedin;URGENT
OZ'ELEC;Gérant;OZ'ELEC;;https://www.linkedin.com/search/results/people/?keywords=OZ+ELEC+Chartres;obat.fr/electricien;92;0;Chartres (28000);Électricien;OZ'ELEC à Chartres : 0 avis Google dans une ville où la concurrence entre électriciens est forte et où chaque avis compte double.;La fenêtre algorithmique de 48h de Google favorise les fiches actives avec des avis récents — les vôtres sont silencieuses.;Un Kit Express à 49€ suffit pour transformer vos 3 prochains clients satisfaits en promoteurs visibles sur Maps.;cold_email;URGENT
ALCEBIA;Gérant;ALCEBIA;;https://www.linkedin.com/search/results/people/?keywords=ALCEBIA+Chartres;obat.fr/electricien;91;0;Chartres (28000);Électricien;ALCEBIA opère à Chartres avec 0 avis Google : vous êtes invisible pour les 83% de clients qui comparent sur Maps avant d'appeler.;Vos concurrents avec 15+ avis captent les demandes urgentes que vous pourriez traiter — c'est du CA qui vous échappe chaque semaine.;Notre approche psychologique (pas de QR code intrusif) permet des résultats en 24-48h avec un taux de réussite de 87%.;cold_email;URGENT
JB ELEC ENERGIE;Gérant;JB ELEC ENERGIE;;https://www.linkedin.com/search/results/people/?keywords=JB+ELEC+ENERGIE+Mainvilliers;obat.fr/electricien;90;0;Mainvilliers (28300);Électricien;JB Elec Énergie à Mainvilliers (proche Chartres) : 0 avis Google alors que la zone périurbaine de Chartres est très recherchée sur Maps.;Sans avis, l'algorithme Google considère votre fiche comme inactive et la pénalise dans les recherches locales de 2026.;Je peux vous montrer en 60 secondes comment 3 de vos prochains clients peuvent doubler votre visibilité Maps cette semaine.;cold_email+linkedin;HAUTE
BL ELECTRICITE SOLUTIONS;Gérant;BL Électricité Solutions;;https://www.linkedin.com/search/results/people/?keywords=BL+Electricite+Solutions+Villiers-le-Morhier;obat.fr/electricien;88;0;Villiers-le-Morhier (28130);Électricien;BL Électricité Solutions couvre une zone rurale : sans avis Google, les habitants qui cherchent un électricien local ne vous trouvent pas.;Dans les zones rurales, être N°1 sur Google Maps avec 10+ avis suffit souvent à monopoliser les demandes du secteur.;Diagnostic gratuit disponible : je vous montre en 60 secondes votre positionnement exact vs vos concurrents les plus proches.;cold_email;HAUTE
TB'RIO;Gérant;TB'Rio;;https://www.linkedin.com/search/results/people/?keywords=TBRio+Boutigny-Prouais;obat.fr/electricien;82;1;Boutigny-Prouais (28410);Électricien;TB'Rio a 1 seul avis 5 étoiles : une excellente note, mais une seule — en dessous de 10 avis, Google réduit votre visibilité dans le Pack Local.;Avec votre note parfaite de 5/5, vous êtes à 9 avis d'une présence Maps dominante sur le bassin de Dreux.;Notre méthode vous permet de capitaliser sur cette note parfaite et d'atteindre 10 avis en 10 jours sans effort supplémentaire.;cold_email;HAUTE
ARTIS'RENO;Gérant;Artis'Reno;;https://www.linkedin.com/search/results/people/?keywords=ArtisReno+Cherisy;obat.fr/plombier;90;0;Cherisy (28500);Plombier/Rénovation;Artis'Reno à Cherisy : 0 avis Google dans la zone de Dreux, pourtant très active pour les rénovations et la plomberie.;Les recherches "plombier Dreux" et "rénovation Dreux" génèrent des leads qualifiés — sans avis, vous n'apparaissez pas dans le top 3 Maps.;Notre Kit Express à 49€ permet d'obtenir 10 avis authentiques en 10 jours avec notre approche psychologique brevetée.;cold_email+linkedin;URGENT
AQUAVOLTA;Gérant;AQUAVOLTA;;https://www.linkedin.com/search/results/people/?keywords=AQUAVOLTA+Gellainville;obat.fr/plombier;89;0;Gellainville (28630);Plombier;AQUAVOLTA à Gellainville (banlieue sud Chartres) : 0 avis Google dans une zone résidentielle dense à fort potentiel.;La proximité de Chartres et les recherches "plombier Gellainville" ou "plombier Chartres sud" vous donnent un avantage territorial si vous avez des avis.;10 avis = domination locale sur votre zone : je peux vous montrer comment y arriver cette semaine avec notre méthode 87%.;cold_email;HAUTE
BATAILLE;Gérant;BATAILLE Plomberie;;https://www.linkedin.com/search/results/people/?keywords=BATAILLE+plomberie+Nogent-le-Roi;obat.fr/plombier;88;0;Nogent-le-Roi (28210);Plombier;BATAILLE à Nogent-le-Roi : 0 avis Google dans une petite ville où dominer Maps ne demande que 8-10 avis bien placés.;Dans les communes de moins de 5000 habitants, être le seul artisan avec 10 avis 5 étoiles vous rend quasi-incontournable.;Diagnostic gratuit : en 60 secondes, je vous montre si vous pouvez devenir N°1 sur Maps à Nogent-le-Roi cette semaine.;cold_email;HAUTE
